client_id,district_id,gender,age,age_group,birth date,disp_id,account_id,district name,region,inhabitants,municipalities with inhabitants < 499,municipalities with inhabitants 500-1999,municipalities with inhabitants 2000-9999,municipalities with inhabitants >10000,cities,ratio of urban inhabitants,average salary,unemployment rate 1996,enterpreneurs per 1000 inhabitants,commited crimes 1996,frequency,LOR,Average Collection from another bank,Average Credit in Cash,Average Interest Credited,Average remittance to another bank,Average withdrawal in cash,Average Total Credit,Average Total Debit,Average Monthly Savings,Average Monthly Balance,Median Monthly Balance,total_credit,total_withdrawal,household payment,insurance payment,lease,loan payment,other,total order payment,Card Type,Card Issued before 1997,Loan Amount,Loan Duration,Loan Payments,status,Loan granted before 1997,Card Issued,loan granted
29,30,F,45,40,1951-09-11,29,23,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.67,100,2804,Monthly Issuance,3,0.0,24828.666666666668,225.65,5807.0,18452.933333333338,25054.316666666666,24259.933333333334,794.3833333333342,43742.45833333332,43356.5,300651.8,291119.19999999995,5807.0,0.0,0.0,0.0,0.0,5807.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
32,52,M,16,10,1980-07-28,32,26,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,3.49,108,2799,Monthly Issuance,3,26868.833333333332,0.0,129.58333333333334,10387.0,16473.850000000002,26998.416666666668,26860.849999999995,137.56666666666874,16127.074999999997,14121.05,323981.0,322330.19999999995,10387.0,0.0,0.0,0.0,0.0,10387.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
33,73,F,48,40,1948-12-04,33,27,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.74,90,4433,Monthly Issuance,3,0.0,9412.5,79.25,4054.0,6147.933333333332,9491.75,10201.933333333336,-710.1833333333337,14702.216666666669,13808.3,113901.00000000001,122423.20000000004,4054.0,0.0,0.0,0.0,0.0,4054.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
36,7,F,18,10,1978-07-17,36,29,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.87,130,4846,Monthly Issuance,2,0.0,19259.5,133.17499999999998,7708.0,12089.600000000004,19392.675,19797.600000000002,-404.9249999999993,24328.774999999998,23645.25,232712.09999999998,237571.20000000004,6871.0,8.0,0.0,0.0,829.0,7708.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
38,36,F,23,20,1973-07-23,38,30,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,4.28,131,6132,Monthly Issuance,1,0.0,34221.416666666664,186.8166666666667,0.0,36313.6,34408.23333333334,36313.6,-1905.3666666666666,57536.13333333333,52260.3,412898.8,435763.19999999995,0.0,0.0,2480.2,0.0,0.0,2480.2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
39,68,M,28,20,1968-01-25,39,31,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.72,96,5887,Monthly Issuance,2,0.0,50249.333333333336,247.5,10202.0,42604.766666666656,50496.833333333336,52806.766666666656,-2309.9333333333348,74016.63333333333,69144.79999999999,605962.0,633681.1999999998,10202.0,0.0,0.0,0.0,0.0,10202.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
40,5,F,39,30,1957-01-22,40,32,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,4.43,118,3040,Monthly Issuance,1,0.0,17927.0,199.40833333333333,0.0,17756.26666666667,18126.408333333333,17756.26666666667,370.14166666666716,59876.024999999994,60822.9,217516.90000000002,213075.20000000004,0.0,0.0,0.0,0.0,0.0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
41,22,M,28,20,1968-08-27,41,33,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.25,100,1117,Monthly Issuance,3,0.0,25554.833333333332,297.52500000000003,5067.0,17464.600000000002,25852.358333333337,22531.600000000002,3320.7583333333346,64512.200000000004,61794.0,310228.3,270379.2,3892.0,0.0,0.0,0.0,0.0,3892.0,gold,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
42,68,M,61,60,1935-08-17,42,34,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.72,96,5887,Weekly Issuance,3,34498.833333333336,0.0,246.35833333333335,6572.0,31809.416666666668,34745.19166666666,38381.416666666664,-3636.224999999999,39941.50833333333,38402.0,416942.29999999993,460577.0,502.0,0.0,1479.0,0.0,6070.0,8051.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
43,75,M,76,70,1920-10-28,43,35,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.66,99,4505,Monthly Issuance,3,5446.0,0.0,63.35833333333334,2384.0,3336.266666666666,5509.358333333334,5720.266666666666,-210.90833333333362,19429.208333333336,19088.65,66112.29999999999,68643.19999999998,1192.0,0.0,0.0,0.0,0.0,1192.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
44,38,F,19,10,1977-01-11,44,36,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,8.23,104,2822,Monthly Issuance,3,0.0,21506.333333333332,160.41666666666666,4069.0,19079.600000000002,21666.75,23148.600000000002,-1481.8499999999985,54645.58333333334,55333.8,260001.0,277783.2,4069.0,0.0,0.0,0.0,0.0,4069.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
47,76,M,62,60,1934-07-14,47,39,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,5.88,107,2807,Monthly Issuance,3,6474.0,0.0,104.28333333333335,3115.0,2827.933333333333,6578.283333333334,5942.933333333333,635.3499999999998,30311.516666666666,31755.9,78939.4,71315.2,1557.5,0.0,0.0,0.0,0.0,1557.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
48,16,M,56,50,1940-02-09,48,40,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.54,107,1913,Monthly Issuance,3,0.0,7043.833333333333,60.62500000000001,4334.0,3606.2666666666664,7104.458333333333,7940.266666666667,-835.8083333333337,20327.725000000002,20688.75,85253.5,95283.20000000001,33.0,0.0,0.0,0.0,4301.0,4334.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
51,36,F,17,10,1979-12-02,51,43,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,4.28,131,6132,Monthly Issuance,2,0.0,25900.333333333332,247.28333333333333,8847.333333333334,19016.26666666667,26147.616666666665,27863.599999999995,-1715.9833333333315,48927.60833333333,49087.4,313771.39999999997,334363.19999999995,6589.0,0.0,0.0,0.0,0.0,6589.0,junior,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
52,32,M,72,70,1924-12-12,52,44,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,3.22,118,4505,Monthly Issuance,3,4200.0,0.0,76.475,2344.0,927.1000000000003,4276.475,3271.099999999999,1005.375,21266.683333333334,20225.15,51317.7,39253.19999999999,2344.0,0.0,0.0,0.0,0.0,2344.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
55,45,F,48,40,1948-09-18,55,47,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.89,132,2122,Monthly Issuance,3,38195.166666666664,0.0,183.79166666666666,7264.0,31226.266666666663,38378.95833333333,38490.266666666656,-111.30833333333067,33782.59166666667,34153.899999999994,460547.49999999994,461883.1999999999,6940.0,141.0,0.0,0.0,91.5,7172.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
59,1,M,39,30,1957-02-18,59,50,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,2,0.0,17665.833333333332,134.725,7293.0,11164.6,17800.55833333333,18457.600000000002,-657.0416666666662,30171.841666666664,29901.7,213606.69999999998,221491.20000000004,269.0,0.0,0.0,0.0,7024.0,7293.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
62,77,M,64,60,1932-12-08,62,53,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,5.56,113,3590,Monthly Issuance,1,4277.0,0.0,74.53333333333335,2851.0,716.2666666666669,4351.533333333333,3567.266666666666,784.2666666666665,20959.833333333336,20660.95,52218.40000000001,42807.19999999999,2851.0,0.0,0.0,0.0,0.0,2851.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
63,4,M,37,30,1959-06-04,63,54,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,5.05,109,5892,Monthly Issuance,1,3421.0,0.0,66.69166666666666,2280.0,1499.6000000000001,3487.691666666667,3779.599999999999,-291.90833333333336,15971.941666666668,16379.55,41852.3,45355.19999999999,2280.0,0.0,0.0,0.0,0.0,2280.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
65,50,F,53,50,1943-05-27,65,56,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,5.45,94,2134,Monthly Issuance,2,0.0,16184.166666666666,143.85833333333332,8080.0,8169.600000000001,16328.025,16249.600000000004,78.42500000000018,27566.125,28223.4,195936.3,194995.20000000004,8080.0,0.0,0.0,0.0,0.0,8080.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
66,1,F,45,40,1951-11-10,66,57,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,1,0.0,23083.666666666668,159.75000000000003,4107.0,20331.26666666667,23243.41666666667,24438.266666666666,-1194.8499999999988,54937.125,54383.65,278921.0,293259.19999999995,4107.0,0.0,0.0,0.0,0.0,4107.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
68,43,M,50,50,1946-12-14,68,59,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,2.5,125,3891,Monthly Issuance,2,0.0,16214.833333333334,165.33333333333331,6885.0,9764.600000000002,16380.16666666667,16649.600000000002,-269.4333333333331,50940.325000000004,52000.75,196562.00000000003,199795.20000000004,695.0,0.0,0.0,0.0,6190.0,6885.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
70,70,M,71,70,1925-12-22,70,61,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,7.75,81,10108,Monthly Issuance,3,4019.0,0.0,79.70833333333333,2313.0,2223.7666666666655,4098.708333333333,4536.7666666666655,-438.05833333333317,17905.358333333334,17194.1,49184.5,54441.19999999998,1156.5,0.0,0.0,0.0,0.0,1156.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
72,47,M,73,70,1923-01-13,72,62,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.81,111,5410,Monthly Issuance,3,5079.0,0.0,94.24166666666667,2273.0,3719.6,5173.241666666666,5992.599999999999,-819.3583333333336,26976.591666666664,26110.5,62078.89999999999,71911.19999999998,2273.0,0.0,0.0,0.0,0.0,2273.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
77,1,F,40,40,1956-02-18,77,66,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Issuance after transaction,3,48439.166666666664,0.0,217.89166666666668,0.0,49577.083333333336,48657.05833333333,49577.083333333336,-920.0250000000002,86925.85833333332,92914.2,583884.7,594925.0,0.0,0.0,4471.3,0.0,0.0,4471.3,classic,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
78,16,F,52,50,1944-06-13,78,67,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.54,107,1913,Monthly Issuance,2,44947.5,0.0,160.11666666666665,11448.0,34816.68333333333,45107.61666666667,46264.68333333332,-1157.0666666666657,68462.8,66699.79999999999,541291.4,555176.1999999998,6393.0,0.0,0.0,6915.0,445.0,13753.0,Not Applicable,Not Applicable,165960.0,24.0,6915.0,No Problems,Yes,0,0
79,37,F,27,20,1969-03-10,79,68,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,5.39,123,4166,Issuance after transaction,2,38520.166666666664,0.0,262.1666666666667,3089.0,32174.083333333332,38782.333333333336,35263.083333333336,3519.2500000000014,57527.10833333334,55233.3,465387.99999999994,423157.0,1705.0,137.0,0.0,0.0,623.5,2465.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0
81,8,M,20,20,1976-04-29,81,70,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.44,127,4987,Monthly Issuance,1,0.0,10094.166666666666,138.1,4150.0,5246.2666666666655,10232.266666666666,9396.266666666668,835.9999999999999,41565.025,42805.55,122787.19999999998,112755.20000000003,4150.0,0.0,0.0,0.0,0.0,4150.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
83,1,F,18,10,1978-12-25,83,71,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,2,0.0,23526.833333333332,198.08333333333334,4650.666666666667,19094.600000000002,23724.916666666668,23745.266666666666,-20.3499999999993,40787.200000000004,42207.1,284698.99999999994,284943.2,968.0,1011.0,0.0,0.0,1190.0,3169.0,junior,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
87,72,F,50,50,1946-11-17,87,73,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,4.79,110,9208,Monthly Issuance,3,0.0,20703.583333333332,170.775,8086.0,12126.26666666667,20874.358333333334,20212.26666666667,662.0916666666676,47215.65,50149.55,250492.30000000002,242547.20000000004,6061.0,0.0,0.0,0.0,0.0,6061.0,classic,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
89,1,F,45,40,1951-05-05,89,75,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,1,0.0,13595.833333333334,102.10000000000001,3369.0,10447.933333333336,13697.933333333332,13816.933333333336,-119.0,29764.591666666664,31065.25,164375.19999999998,165803.20000000004,3369.0,0.0,0.0,0.0,0.0,3369.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
92,74,F,30,30,1966-06-12,92,78,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,5.44,100,18347,Monthly Issuance,3,0.0,18942.833333333332,121.36666666666667,9039.0,9947.933333333336,19064.2,18986.933333333338,77.26666666666733,18195.69166666667,17461.0,228770.40000000002,227843.20000000004,9039.0,0.0,0.0,0.0,0.0,9039.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
94,43,M,49,40,1947-09-09,94,80,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,2.5,125,3891,Monthly Issuance,1,3378.0,0.0,62.224999999999994,1876.6666666666667,968.3833333333336,3440.225,2845.0499999999993,595.1750000000001,15724.575000000003,15521.5,41282.7,34140.59999999999,2252.0,0.0,0.0,0.0,0.0,2252.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
97,26,M,31,30,1965-11-28,97,82,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,3.09,131,6261,Monthly Issuance,2,0.0,60145.583333333336,239.70833333333334,0.0,56352.51666666666,60385.291666666664,56352.51666666666,4032.775,63233.208333333336,49485.1,724623.5,676230.2,0.0,0.0,0.0,0.0,0.0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
98,33,F,23,20,1973-05-04,98,83,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,7.61,116,4859,Monthly Issuance,3,0.0,10919.833333333334,86.91666666666669,6150.0,6304.599999999999,11006.75,12454.600000000004,-1447.8500000000001,25326.491666666665,27708.35,132081.0,149455.20000000004,2210.0,0.0,0.0,0.0,3940.0,6150.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
100,44,F,54,50,1942-08-11,100,84,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,3.76,97,2325,Issuance after transaction,1,0.0,44348.25,220.9,9339.0,28325.333333333332,44569.15,37664.333333333336,6904.816666666666,51432.291666666664,42423.3,534829.8,451972.0,12452.0,0.0,1709.0,0.0,0.0,14161.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
102,74,F,38,30,1958-09-10,102,86,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,5.44,100,18347,Monthly Issuance,3,3243.0,0.0,82.05833333333332,2162.0,847.1000000000004,3325.058333333333,3009.099999999999,315.9583333333333,18555.98333333333,18095.949999999997,39900.7,36109.19999999999,1002.0,0.0,0.0,0.0,1160.0,2162.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
107,1,M,24,20,1972-06-23,107,90,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,2,0.0,26331.5,149.91666666666669,9882.0,18329.600000000002,26481.416666666668,28211.599999999995,-1730.1833333333323,30055.41666666667,27876.050000000003,317777.0,338539.19999999995,2774.0,4372.0,0.0,0.0,1368.0,8514.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
112,1,M,61,60,1935-01-25,112,95,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,1,0.0,25920.833333333332,228.06666666666672,675.0,23769.600000000002,26148.899999999998,24444.600000000002,1704.3000000000018,74052.16666666667,76774.95000000001,313786.8,293335.19999999995,0.0,0.0,0.0,0.0,0.0,0.0,classic,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
114,74,F,27,20,1969-06-24,114,96,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,5.44,100,18347,Monthly Issuance,3,47906.166666666664,0.0,341.64166666666665,4688.0,46871.1,48247.80833333333,51559.099999999984,-3311.2916666666665,66134.93333333333,68087.25,578973.7,618709.1999999998,908.0,46.0,4422.1,0.0,1392.0,6768.1,classic,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
120,1,M,20,20,1976-05-10,120,99,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,1,0.0,34747.0,195.80833333333337,7654.166666666667,23096.800000000003,34942.80833333334,30750.96666666666,4191.841666666667,46682.9,46951.4,419313.7,369011.5999999999,4503.0,0.0,0.0,0.0,4682.0,9185.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
121,41,F,18,10,1978-10-29,121,100,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,4.48,114,5471,Monthly Issuance,3,0.0,14815.25,172.54999999999998,7927.0,5822.933333333333,14987.800000000003,13749.933333333336,1237.866666666667,47740.65,50170.55,179853.60000000003,164999.20000000004,598.0,0.0,0.0,0.0,7329.0,7927.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
123,11,M,27,20,1969-02-12,123,102,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.59,154,3529,Monthly Issuance,3,0.0,27169.75,158.00833333333333,3750.0,22392.016666666666,27327.75833333333,26142.016666666663,1185.7416666666666,35781.60833333333,33078.65,327933.1,313704.19999999995,3373.0,0.0,0.0,7370.2,377.0,11120.2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
125,37,M,60,60,1936-10-31,125,104,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,5.39,123,4166,Monthly Issuance,3,3063.0,0.0,82.14166666666667,2042.0,1434.6000000000001,3145.141666666667,3476.599999999999,-331.4583333333332,22546.041666666668,21962.85,37741.700000000004,41719.19999999999,578.0,0.0,0.0,0.0,1464.0,2042.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
128,63,F,23,20,1973-04-04,128,106,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,4.52,110,1460,Monthly Issuance,2,0.0,19245.5,148.32500000000002,5193.333333333333,14064.6,19393.825,19257.933333333338,135.89166666666765,42532.425,46415.2,232725.9,231095.20000000004,3735.0,0.0,0.0,0.0,0.0,3735.0,classic,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
129,64,F,49,40,1947-05-31,129,107,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,2.31,145,4265,Monthly Issuance,3,0.0,9093.0,135.10000000000002,4554.0,4126.2666666666655,9228.099999999999,8680.266666666668,547.833333333333,29221.574999999997,31228.15,110737.19999999998,104163.20000000001,2015.0,959.0,0.0,0.0,1580.0,4554.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
